Month,In/Out,Australia,Latitude,Longitude,International,Latitude,Longitude,AllFlights
20-Mar,O,Melbourne,-37.8136,144.9631,Port Vila,-17.7365,168.3147,7
20-Mar,O,Melbourne,-37.8136,144.9631,Queenstown,-45.0327,168.6580,13
20-Mar,O,Melbourne,-37.8136,144.9631,Queenstown,-45.0327,168.6580,21
20-Mar,O,Melbourne,-37.8136,144.9631,Queenstown,-45.0327,168.6580,13
20-Mar,O,Melbourne,-37.8136,144.9631,Santiago,-33.4500,-70.6667,12
20-Mar,O,Melbourne,-37.8136,144.9631,Vancouver,49.2636,-123.1386,15
20-Mar,O,Melbourne,-37.8136,144.9631,Wellington,-41.2851,174.7760,15
20-Mar,O,Melbourne,-37.8136,144.9631,Wellington,-41.2851,174.7760,25
20-Mar,O,Melbourne,-37.8136,144.9631,Wellington,-41.2851,174.7760,14
20-Mar,O,Melbourne,-37.8136,144.9631,Xiamen,24.4795,118.0895,5
20-Mar,O,Perth,-31.9529,115.8573,Auckland,-36.8473,174.7628,33
20-Mar,O,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,15
20-Mar,O,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,12
20-Mar,O,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,27
20-Mar,O,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,60
20-Mar,O,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,35
20-Mar,O,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,20
20-Mar,O,Perth,-31.9529,115.8573,Johannesburg,-26.2015,28.0455,18
20-Mar,O,Perth,-31.9529,115.8573,Kota Kinabalu,5.9714,116.0953,2
20-Mar,O,Perth,-31.9529,115.8573,London,51.5002,-0.1262,25
20-Mar,O,Perth,-31.9529,115.8573,London,51.5002,-0.1262,2
20-Mar,O,Port Hedland,-20.31,118.6011,Denpasar,-8.6722,115.2336,2
20-Mar,O,Sydney,-33.8728,151.2053,Abu Dhabi,24.4882,54.3549,49
20-Mar,O,Sydney,-33.8728,151.2053,Apia,-13.8333,-171.7500,4
20-Mar,O,Sydney,-33.8728,151.2053,Apia,-13.8333,-171.7500,3
20-Mar,O,Sydney,-33.8728,151.2053,Auckland,-36.8473,174.7628,110
20-Mar,O,Sydney,-33.8728,151.2053,Auckland,-36.8473,174.7628,23
20-Mar,O,Sydney,-33.8728,151.2053,Auckland,-36.8473,174.7628,16
20-Mar,O,Sydney,-33.8728,151.2053,Auckland,-36.8473,174.7628,113
20-Mar,O,Sydney,-33.8728,151.2053,Auckland,-36.8473,174.7628,56
20-Mar,O,Sydney,-33.8728,151.2053,Christchurch,-43.5308,172.6380,31
20-Mar,O,Sydney,-33.8728,151.2053,Christchurch,-43.5308,172.6380,24
20-Mar,O,Sydney,-33.8728,151.2053,Christchurch,-43.5308,172.6380,25
20-Mar,O,Sydney,-33.8728,151.2053,Christchurch,-43.5308,172.6380,9
20-Mar,O,Sydney,-33.8728,151.2053,Dallas,32.7758,-96.7967,21
20-Mar,O,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,18
20-Mar,O,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,23
20-Mar,O,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,1
20-Mar,O,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,15
20-Mar,O,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,24
20-Mar,O,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,32
20-Mar,O,Sydney,-33.8728,151.2053,Guangzhou,23.1291,113.2644,28
20-Mar,O,Sydney,-33.8728,151.2053,Honolulu,21.3099,-157.8582,16
20-Mar,O,Sydney,-33.8728,151.2053,Honolulu,21.3099,-157.8582,25
20-Mar,O,Sydney,-33.8728,151.2053,Houston,29.7628,-95.3831,21
20-Mar,O,Sydney,-33.8728,151.2053,Johannesburg,-26.2015,28.0455,23
20-Mar,O,Sydney,-33.8728,151.2053,London,51.5002,-0.1262,31
20-Mar,O,Sydney,-33.8728,151.2053,London,51.5002,-0.1262,3
20-Mar,O,Sydney,-33.8728,151.2053,London,51.5002,-0.1262,22
20-Mar,O,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,18
20-Mar,O,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,19
20-Mar,O,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,7
20-Mar,O,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,18
20-Mar,O,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,19
20-Mar,O,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,25
20-Mar,O,Sydney,-33.8728,151.2053,Manila,14.5823,120.9748,10
20-Mar,O,Sydney,-33.8728,151.2053,Manila,14.5823,120.9748,16
20-Mar,O,Sydney,-33.8728,151.2053,Manila,14.5823,120.9748,19
20-Mar,O,Sydney,-33.8728,151.2053,Nadi,-17.4800,177.4167,38
20-Mar,O,Sydney,-33.8728,151.2053,Nadi,-17.4800,177.4167,10
20-Mar,O,Sydney,-33.8728,151.2053,Nadi,-17.4800,177.4167,13
20-Mar,O,Sydney,-33.8728,151.2053,Nadi,-17.4800,177.4167,19
20-Mar,O,Sydney,-33.8728,151.2053,New Delhi,28.6139,77.2089,16
20-Mar,O,Sydney,-33.8728,151.2053,New York,40.7130,-74.0072,18
20-Mar,O,Sydney,-33.8728,151.2053,Nouméa,-22.2758,166.4580,15
20-Mar,O,Sydney,-33.8728,151.2053,Nouméa,-22.2758,166.4580,11
20-Mar,O,Sydney,-33.8728,151.2053,Osaka,34.6939,135.5022,11
20-Mar,O,Sydney,-33.8728,151.2053,Phuket,7.8900,98.3982,2
20-Mar,O,Sydney,-33.8728,151.2053,Phuket,7.8900,98.3982,8
20-Mar,O,Sydney,-33.8728,151.2053,Port Moresby,-9.4671,147.1960,2
20-Mar,O,Sydney,-33.8728,151.2053,Port Moresby,-9.4671,147.1960,4
20-Mar,O,Sydney,-33.8728,151.2053,Port Vila,-17.7365,168.3147,14
20-Mar,O,Sydney,-33.8728,151.2053,Queenstown,-45.0327,168.6580,9
20-Mar,O,Sydney,-33.8728,151.2053,Queenstown,-45.0327,168.6580,20
20-Mar,O,Sydney,-33.8728,151.2053,Queenstown,-45.0327,168.6580,35
