Month,In/Out,Australia,"	Latitude",Longitude ,International,AllFlights
Mar-20,I,Sydney,,,Rarotonga,  3
Mar-20,I,Sydney,,,San Francisco,  20
Mar-20,I,Sydney,,,San Francisco,  31
Mar-20,I,Sydney,,,Santiago,  16
Mar-20,I,Sydney,,,Santiago,  10
Mar-20,I,Sydney,,,Santiago,  16
Mar-20,I,Sydney,,,Sapporo,  7
Mar-20,I,Sydney,,,Seoul,  5
Mar-20,I,Sydney,,,Seoul,  2
Mar-20,I,Sydney,,,Seoul,  9
Mar-20,I,Sydney,,,Shanghai,  24
Mar-20,I,Sydney,,,Singapore,  31
Mar-20,I,Sydney,,,Singapore,  20
Mar-20,I,Sydney,,,Singapore,  15
Mar-20,I,Sydney,,,Singapore,  18
Mar-20,I,Sydney,,,Singapore,  83
Mar-20,I,Sydney,,,Singapore,  19
Mar-20,I,Sydney,,,Suva,  3
Mar-20,I,Sydney,,,Taipei,  24
Mar-20,I,Sydney,,,Tokyo,  30
Mar-20,I,Sydney,,,Tokyo,  31
Mar-20,I,Sydney,,,Tokyo,  2
Mar-20,I,Sydney,,,Tokyo,  26
Mar-20,I,Sydney,,,Tongatapu,  6
Mar-20,I,Sydney,,,Vancouver,  29
Mar-20,I,Sydney,,,Wellington,  29
Mar-20,I,Sydney,,,Wellington,  48
Mar-20,I,Sydney,,,Wellington,  16
Mar-20,I,Sydney,,,Xiamen,  11
Mar-20,O,Adelaide,,,Auckland,  16
Mar-20,O,Adelaide,,,Denpasar,  26
Mar-20,O,Adelaide,,,Denpasar,  10
Mar-20,O,Adelaide,,,Doha,  20
Mar-20,O,Adelaide,,,Dubai,  22
Mar-20,O,Adelaide,,,Hong Kong,  3
Mar-20,O,Adelaide,,,Kuala Lumpur,  16
Mar-20,O,Adelaide,,,Kuala Lumpur,  10
Mar-20,O,Adelaide,,,Singapore,  24
Mar-20,O,Brisbane,,,Abu Dhabi,  20
Mar-20,O,Brisbane,,,Apia,  3
Mar-20,O,Brisbane,,,Apia,  2
Mar-20,O,Brisbane,,,Auckland,  63
Mar-20,O,Brisbane,,,Auckland,  17
Mar-20,O,Brisbane,,,Auckland,  39
Mar-20,O,Brisbane,,,Auckland,  48
Mar-20,O,Brisbane,,,Bandar Seri Begawan,  13
Mar-20,O,Brisbane,,,Bangkok,  9
Mar-20,O,Brisbane,,,Bangkok,  14
Mar-20,O,Brisbane,,,Christchurch,  18
Mar-20,O,Brisbane,,,Christchurch,  18
Mar-20,O,Brisbane,,,Christchurch,  25
Mar-20,O,Brisbane,,,Denpasar,  24
Mar-20,O,Brisbane,,,Denpasar,  10
Mar-20,O,Brisbane,,,Denpasar,  30
Mar-20,O,Brisbane,,,Doha,  2
Mar-20,O,Brisbane,,,Dubai,  38
